"Name","Team","SwStr%","Pitches","playerid"
"Evan Scribner","Mariners","11.1 %","190","7525"
"Donnie Hart","Orioles","8.5 %","271","15306"
"Zach Britton","Orioles","17.2 %","1027","3240"
"Dan Altavilla","Mariners","11.6 %","172","16507"
"Ty Blach","Giants","5.4 %","241","14361"
"Cam Bedrosian","Angels","11.2 %","655","13360"
"Rob Zastryzny","Cubs","13.7 %","249","15094"
"Matt Strahm","Royals","12.2 %","433","13799"
"Eddie Gamboa","Rays","7.7 %","222","6911"
"Andrew Miller","- - -","16.4 %","1118","6785"
"Dan Otero","Indians","7.5 %","1001","7385"
"Aroldis Chapman","- - -","18.6 %","976","10233"
"Alex Reyes","Cardinals","11.5 %","793","15015"
"Ryan Merritt","Indians","6.3 %","127","13688"
"Mark Melancon","- - -","11.0 %","1023","4264"
"Brandon Morrow","Padres","10.3 %","232","9346"
"Clayton Kershaw","Dodgers","15.3 %","2062","2036"
"Matt Belisle","Nationals","9.1 %","671","1837"
"Tyler Wagner","Diamondbacks","8.3 %","145","13796"
"Jose Leclerc","Rangers","12.1 %","264","14524"
"Kenley Jansen","Dodgers","17.1 %","1002","3096"
"Wade Davis","Royals","13.1 %","719","7441"
"Alex Colome","Rays","15.1 %","860","6661"
"Seung Hwan Oh","Cardinals","18.0 %","1303","18719"
"Richard Bleier","Yankees","9.5 %","349","7803"
"Addison Reed","Mets","11.7 %","1193","10586"
"Matt Koch","Diamondbacks","7.7 %","234","13420"
"Miguel Socolovich","Cardinals","12.3 %","236","6697"
"Brad Brach","Orioles","14.8 %","1295","6627"
"Grant Dayton","Dodgers","15.0 %","468","11203"
"Dan Jennings","White Sox","8.5 %","1027","8073"
"Tony Barnette","Rangers","11.5 %","921","3555"
"Rich Hill","- - -","10.6 %","1819","4806"
"Derek Law","Giants","10.3 %","796","13133"
"Kyle Hendricks","Cubs","10.0 %","2888","12049"
"Jharel Cotton","Athletics","12.5 %","441","13654"
"Tyler Thornburg","Brewers","12.0 %","1145","10688"
"Chris Devenski","Astros","13.5 %","1577","12763"
"Jason Vargas","Royals","10.1 %","209","8044"
"Brad Ziegler","- - -","11.7 %","1035","7293"
"Will Harris","Astros","13.2 %","1045","3192"
"Joba Chamberlain","Indians","11.6 %","354","2692"
"Alec Asher","Phillies","5.7 %","424","13560"
"Blake Treinen","Nationals","10.5 %","1002","12572"
"David Phelps","Marlins","9.8 %","1497","6316"
"Nate Jones","White Sox","14.3 %","1009","4696"
"Nefi Ogando","Marlins","8.4 %","227","12253"
"Zach Putnam","White Sox","17.6 %","449","9080"
"Jeremy Jeffress","- - -","9.6 %","867","9490"
"Garrett Richards","Angels","11.2 %","615","9784"
"Zach Duke","- - -","10.8 %","1014","3840"
"Sammy Solis","Nationals","12.2 %","663","11457"
"Robert Gsellman","Mets","9.1 %","713","13696"
"Ryan Dull","Athletics","12.4 %","1217","13974"
"Sam Dyson","Rangers","8.3 %","990","11710"
"Jon Lester","Cubs","10.3 %","3161","4930"
"Brian Ellington","Marlins","11.9 %","565","17233"
"Joe Blanton","Dodgers","14.2 %","1278","4849"
"Matt Bush","Rangers","13.1 %","941","1246"
"Chase Whitley","Rays","13.5 %","238","10982"
"Cody Allen","Indians","14.0 %","1133","12183"
"Mike Montgomery","- - -","11.6 %","1513","4869"
"Raisel Iglesias","Reds","11.6 %","1245","17130"
"George Kontos","Giants","10.1 %","799","9486"
"Shawn Armstrong","Indians","10.5 %","201","12857"
"Jeurys Familia","Mets","14.9 %","1262","5114"
"Hector Neris","Phillies","15.4 %","1358","11804"
"Noah Syndergaard","Mets","14.2 %","2935","11762"
"Brian Flynn","Royals","10.8 %","815","12027"
"Tommy Kahnle","White Sox","10.8 %","499","11384"
"Shawn Kelley","Nationals","15.7 %","907","7773"
"Sergio Romo","Giants","14.9 %","469","9817"
"Marc Rzepczynski","- - -","11.2 %","840","6612"
"Heath Hembree","Red Sox","9.7 %","862","11632"
"Adam Ottavino","Rockies","11.1 %","458","1247"
"Seth Lugo","Mets","9.2 %","961","12447"
"Roberto Osuna","Blue Jays","15.1 %","1134","13764"
"Jacob Barnes","Brewers","14.8 %","405","12323"
"Carlos Torres","Brewers","11.5 %","1317","7624"
"Madison Bumgarner","Giants","11.5 %","3571","5524"
"Trevor Cahill","Cubs","11.0 %","1162","6249"
"Kelvin Herrera","Royals","15.2 %","1091","6033"
"Kevin Siegrist","Cardinals","10.4 %","1050","8180"
"Jerry Blevins","Mets","11.0 %","728","7841"
"Johnny Cueto","Giants","9.4 %","3299","6893"
"Edwin Diaz","Mariners","18.5 %","831","14710"
"Alex Claudio","Rangers","10.5 %","789","12890"
"Junior Guerra","Brewers","10.9 %","1866","5702"
"A.J. Ramos","Marlins","12.0 %","1117","8350"
"Steve Cishek","Mariners","11.3 %","1076","6483"
"Joaquin Benoit","- - -","14.1 %","836","1437"
"Mauricio Cabrera","Braves","11.7 %","644","12975"
"Dustin McGowan","Marlins","14.4 %","1080","8600"
"Tanner Roark","Nationals","8.9 %","3355","8753"
"Kyle Barraclough","Marlins","13.8 %","1337","13713"
"Pedro Strop","Cubs","16.3 %","729","4070"
"Ryan Buchter","Padres","9.3 %","1127","9456"
"Tyler Cravy","Brewers","11.3 %","451","10770"
"Jose Fernandez","Marlins","14.2 %","2940","11530"
"Michael Lorenzen","Reds","9.5 %","755","14843"
"Chris Smith","Athletics","14.6 %","439","4544"
"Brad Hand","Padres","12.2 %","1447","9111"
"Ryan Tepera","Blue Jays","13.8 %","290","10291"
"Travis Wood","Cubs","6.5 %","1016","9884"
"Max Scherzer","Nationals","15.3 %","3563","3137"
"Alex Wilson","Tigers","8.9 %","1130","9239"
"Bruce Rondon","Tigers","15.8 %","565","5766"
