"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension"
"94",488862,"Yunel Escobar","447","21.03","0.266","0.117","0.250","0.383","0.281","0.351","0.316","25","94","88.9","0.6","2168","89.2","88.61","0","94","0","-0.6","6.01"
"93",502517,"Daniel Murphy","377","24.67","0.387","0.280","0.352","0.667","0.449","0.380","0.340","36","93","88.3","15.8","2168","88.4","87.96","0","93","0","-0.4","6.13"
"89",429664,"Robinson Cano","421","21.14","0.295","0.205","0.259","0.500","0.336","0.374","0.334","26","88","89.6","6.5","2156","87.7","87.08","0","89","0","-0.6","5.87"
"89",453568,"Charlie Blackmon","470","18.94","0.360","0.372","0.300","0.733","0.443","0.399","0.345","31","86","88.4","13.8","2146","88.8","88.43","0","89","0","-0.4","6.02"
"88",500208,"Yangervis Solarte","350","25.14","0.322","0.126","0.302","0.448","0.331","0.321","0.305","28","87","85.8","11.8","2164","86.8","85.95","0","88","0","-0.9","5.79"
"88",572041,"A.J. Pollock","423","20.80","0.386","0.193","0.372","0.580","0.416","0.345","0.318","34","88","89.0","7.7","2212","89.6","88.89","0","88","0","-0.7","5.90"
"88",622534,"Manuel Margot","408","21.57","0.330","0.182","0.306","0.511","0.362","0.308","0.292","29","88","85.7","6.2","2280","86.8","85.90","0","88","0","-0.9","5.77"
"88",607680,"Kevin Pillar","408","21.57","0.356","0.241","0.325","0.598","0.403","0.353","0.314","31","87","86.7","14.7","2263","89.5","88.84","0","88","0","-0.7","5.96"
"87",456488,"Eduardo Nunez","319","27.27","0.267","0.047","0.264","0.314","0.254","0.237","0.242","23","86","85.5","0.5","2235","88.5","87.81","0","87","0","-0.7","5.97"
"85",571448,"Nolan Arenado","415","20.48","0.345","0.381","0.282","0.726","0.443","0.418","0.329","29","84","88.5","18.7","2247","89.0","88.51","0","85","0","-0.5","5.95"
"85",467793,"Carlos Santana","471","18.05","0.259","0.165","0.241","0.424","0.292","0.345","0.299","22","85","89.3","11.4","2188","89.7","89.31","0","85","0","-0.4","6.05"
"83",405395,"Albert Pujols","421","19.71","0.293","0.146","0.263","0.439","0.313","0.347","0.312","24","82","85.9","10.6","2224","89.4","88.81","0","83","0","-0.6","6.00"
"83",649557,"Aledmys Diaz","274","30.29","0.241","0.193","0.203","0.434","0.287","0.278","0.249","20","83","86.4","14.1","2200","88.9","88.41","0","83","0","-0.5","5.95"
"82",542255,"Ender Inciarte","363","22.59","0.280","0.207","0.244","0.488","0.327","0.278","0.252","23","82","81.2","7.4","2161","88.6","87.65","0","82","0","-0.9","5.85"
"82",519203,"Anthony Rizzo","422","19.43","0.305","0.280","0.250","0.585","0.376","0.376","0.321","25","82","88.2","17.8","2239","88.1","87.76","0","82","0","-0.3","6.09"
"81",606299,"Jose Peraza","340","23.82","0.259","0.037","0.259","0.296","0.246","0.289","0.300","21","81","81.9","8.4","2113","88.8","87.99","0","81","0","-0.8","5.94"
"81",543829,"Dee Gordon","349","23.21","0.346","0.086","0.346","0.432","0.341","0.278","0.275","28","81","80.4","-0.4","2181","90.1","89.36","0","81","0","-0.7","6.00"
"81",592743,"Andrelton Simmons","386","20.98","0.333","0.136","0.308","0.469","0.349","0.336","0.319","27","81","88.9","9.2","2235","90.3","89.89","0","81","0","-0.4","5.98"
"81",596019,"Francisco Lindor","407","19.90","0.372","0.397","0.301","0.769","0.460","0.452","0.345","29","78","89.7","12.0","2075","87.0","86.29","0","81","0","-0.7","5.97"
"81",518934,"DJ LeMahieu","430","18.84","0.309","0.123","0.300","0.432","0.322","0.337","0.330","25","81","88.0","2.6","2186","88.2","87.81","0","81","0","-0.4","5.95"
